# What each predicate of the retained-process classifier MEANS, one sentence per word.
#
# The probe learned to name its refusals (#699, #719, #741) and its receivers still reported all
# of them as "has owning or unknown processes" — a sentence that is true of exactly one of these
# predicates and reconstitutes, one layer up, the collapse those issues removed one layer down
# (#738). It lives in a data file because both receivers read it: `environment.sh`, which decides
# whether a retained replacement proceeds, and `verify-preview-environment.ts`, which reports the
# same probe in CI.
#
# `<predicate><TAB><sentence>`; a `HOLD:` prefix and the predicate itself are added by the reader.
# A predicate with no row here is reported as unknown to the receiver rather than guessed at:
# adding a word to the classifier without adding it here is a diagnosable state, not a silent
# fallback to a sentence about processes.
server-process-shape	PID 1 is not the supported hub entrypoint
server-process-absent	no hub process is running at PID 1
server-restarted-during-probe	the hub restarted while the probe was reading it
unclassified-process	a process it cannot classify is running
zombie-identity-unconfirmed	a terminated process did not keep its identity while the probe confirmed it
pid-reused-during-probe	a PID was reused while the probe was reading it
exit-unproven	a process did not finish exiting within the probe's deadline
fingerprint-unreadable-denied	the probe was not permitted to read a process fingerprint
fingerprint-unreadable-vanished	the kernel disowned a task while the probe read its fingerprint
fingerprint-unreadable-unmapped	a process fingerprint read failed for a reason the probe does not map
exit-unconfirmable-denied	the probe was not permitted to confirm that a process had exited
exit-unconfirmable-vanished	the kernel disowned a task while the probe confirmed its exit
exit-unconfirmable-unmapped	confirming a process exit failed for a reason the probe does not map
proc-field-shape	a /proc field did not have the shape the probe requires
classifier-fault	the process classifier faulted, which is a defect in the probe and not a finding about this machine
